flight_type,flight,airlineCode,airlineName,flightNumber,flightId,otherAirport,otherCity,terminal,gate,carousel,scheduledTime,estimatedTime,actualTime,status,statusText,aircraftIata,aircraftIcao,aircraftModel,registration,duration,serviceType,codeshares,numCodeshares
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,UA1730,UA,United Airlines,1730,245464318,SAN,San Diego,7,75B,,2026-04-29T19:14:00-07:00,2026-04-29T19:14:00-07:00,2026-04-29T19:08:00-07:00,IA,In Air,7M9,B39M,Boeing 737MAX 9 Passenger,N37556,58,J,AV2142|LH8876|NH7266|NZ6939|OZ6234|VA8420,6
arrivals,Y4713,Y4,Volaris,713,245464500,MEX,Mexico City,B,201A,,2026-04-29T19:17:00-07:00,2026-04-30T00:15:00-07:00,2026-04-30T00:15:00-07:00,IA,In Air,32N,A20N,Airbus A320neo,N547VL,223,J,F96713,1
arrivals,Y4713,Y4,Volaris,713,245464500,MEX,Mexico City,B,201A,,2026-04-29T19:17:00-07:00,2026-04-30T00:15:00-07:00,2026-04-30T00:15:00-07:00,IA,In Air,32N,A20N,Airbus A320neo,N547VL,223,J,F96713,1
arrivals,DL1483,DL,Delta Air Lines,1483,245465059,SLC,Salt Lake City,3,31B,,2026-04-29T19:24:00-07:00,2026-04-29T19:30:00-07:00,,DP,Departed,321,A21N,Airbus A321neo,N580DT,109,J,AM3440|KE7465|VS1884,3
arrivals,DL1483,DL,Delta Air Lines,1483,245465059,SLC,Salt Lake City,3,31B,,2026-04-29T19:24:00-07:00,2026-04-29T19:30:00-07:00,,DP,Departed,321,A21N,Airbus A321neo,N580DT,109,J,AM3440|KE7465|VS1884,3
arrivals,DL1483,DL,Delta Air Lines,1483,245465059,SLC,Salt Lake City,3,31B,,2026-04-29T19:24:00-07:00,2026-04-29T19:30:00-07:00,,DP,Departed,321,A21N,Airbus A321neo,N580DT,109,J,AM3440|KE7465|VS1884,3
arrivals,DL1483,DL,Delta Air Lines,1483,245465059,SLC,Salt Lake City,3,31B,,2026-04-29T19:24:00-07:00,2026-04-29T19:30:00-07:00,,DP,Departed,321,A21N,Airbus A321neo,N580DT,109,J,AM3440|KE7465|VS1884,3
arrivals,CA8416,CA,Air China,8416,245464987,PVG,Shanghai (Pudong),,,,2026-04-29T19:25:00-07:00,2026-04-29T19:25:00-07:00,,IA,In Air,77F,B744,Boeing 777 Freighter,,830,J,,0
arrivals,WN4429,WN,Southwest Airlines,4429,245466037,DEN,Denver,1,13,,2026-04-29T19:30:00-07:00,2026-04-29T19:36:00-07:00,2026-04-29T19:38:00-07:00,IA,In Air,7S8,B38M,Boeing 737-800 (Scimitar Winglets) Pax,N8313F,135,J,,0
arrivals,OO3303,OO,SkyWest,3303,245466416,PSC,Pasco,6,67,,2026-04-29T19:35:00-07:00,2026-04-29T19:35:00-07:00,2026-04-29T19:25:00-07:00,IA,In Air,E7W,E75L,Embraer 175,N176SY,157,J,,0
arrivals,LX41,LX,Swiss International Air Lines,41,245467043,ZRH,Zurich,B,152,,2026-04-29T19:35:00-07:00,2026-04-29T19:35:00-07:00,2026-04-29T19:33:00-07:00,IA,In Air,77W,B77W,Boeing 777-300ER Passenger,HBJNF,670,J,UA9729,1
arrivals,LX41,LX,Swiss International Air Lines,41,245467043,ZRH,Zurich,B,152,,2026-04-29T19:35:00-07:00,2026-04-29T19:35:00-07:00,2026-04-29T19:33:00-07:00,IA,In Air,77W,B77W,Boeing 777-300ER Passenger,HBJNF,670,J,UA9729,1
arrivals,OO3303,OO,SkyWest,3303,246130887,PSC,Pasco,,67,,2026-04-29T19:35:00-07:00,2026-04-29T19:35:00-07:00,2026-04-29T19:25:00-07:00,DP,Departed,E75,,,,,J,,0
arrivals,AS233,AS,Alaska Airlines,233,245466396,EUG,Eugene,6,64A,,2026-04-29T19:40:00-07:00,2026-04-29T19:40:00-07:00,2026-04-29T19:28:00-07:00,DP,Departed,7M9,B39M,Boeing 737MAX 9 Passenger,N972AK,143,J,AA9426|AY2547|TN2561,3
arrivals,AS233,AS,Alaska Airlines,233,245466396,EUG,Eugene,6,64A,,2026-04-29T19:40:00-07:00,2026-04-29T19:40:00-07:00,2026-04-29T19:28:00-07:00,DP,Departed,7M9,B39M,Boeing 737MAX 9 Passenger,N972AK,143,J,AA9426|AY2547|TN2561,3
