airlineCode,airlineIcons,airlineName,airportCode,airportName,codeShare,delayed,destinationAirportCode,destinationAirportName,destinationCountryCode,estimatedDate,estimatedTime,flight,flightNumber,lastUpdatedDateTime,operatedFlightNumber,operatingAirlineCode,operatingAirlineName,originAirportCode,originAirportName,originCountryCode,scheduledDate,scheduledTime,status,statusCode,temperatureC,temperatureF,weather,weatherIcon,airport,flight_type
Y4,Y4,Volaris,LAX,Los Angeles International Airport,False,False,TIJ,General Abelardo L. Rodriguez International Airport,MX,2026-04-30,08:00:00,Y4 9457,9457,2026-04-30T11:50:20.000Z,9457,Y4,Volaris,LAX,Los Angeles International Airport,US,2026-04-30,09:00:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
OO,OO|CI|LA|LY,SkyWest,LAX,Los Angeles International Airport,False,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,OO 4018,4018,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
CI,CI,China Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,CI 9152,9152,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
LA,LA,LAN Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,LA 6687,6687,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
LY,LY,El Al Israel Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,LY 4484,4484,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
AA,AA,American Airlines,LAX,Los Angeles International Airport,False,False,CLE,Cleveland Hopkins International Airport,US,2026-04-30,08:30:00,AA 650,650,2026-04-30T14:59:34.000Z,650,AA,American Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
AC,AC|NZ|SN|UA,Air Canada,LAX,Los Angeles International Airport,False,False,YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,2026-04-30,08:30:00,AC 776,776,2026-04-30T14:59:20.000Z,776,AC,Air Canada,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AS,AS|IB|QF|TN,Alaska Airlines,LAX,Los Angeles International Airport,False,False,OGG,Kahului International Airport,US,2026-04-30,08:30:00,AS 933,933,2026-04-30T13:31:52.000Z,933,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
B6,B6|AD|SQ,JetBlue Airways,LAX,Los Angeles International Airport,False,False,FLL,Fort Lauderdale Hollywood International Airport,US,2026-04-30,08:30:00,B6 1700,1700,2026-04-30T15:25:30.000Z,1700,B6,JetBlue Airways,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
DL,DL|VS,Delta Air Lines,LAX,Los Angeles International Airport,False,True,IND,Indianapolis International Airport,US,2026-04-30,08:30:00,DL 909,909,2026-04-30T14:59:40.000Z,909,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
NK,NK,Spirit Airlines,LAX,Los Angeles International Airport,False,False,LAS,Harry Reid International Airport,US,2026-04-30,08:30:00,NK 1010,1010,2026-04-30T15:04:46.000Z,1010,NK,Spirit Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
